hyb,ch,x,y,z,int,sum_3x3_int_ch1
12,1,349.0,1546.0,10.0,11666,2608
12,1,694.0,1269.0,5.0,10450,9922
12,1,532.0,1816.0,5.0,10284,62715
12,1,959.0,692.0,5.0,11885,3356
12,1,363.0,1627.0,5.0,10730,16339
12,1,802.0,618.0,5.0,10794,3383
12,1,952.0,1020.0,5.0,13021,7818
12,1,1088.0,511.0,6.0,10843,2988
12,1,809.0,2010.0,5.0,11110,12133
12,1,1210.0,1098.0,4.0,10215,6280
12,1,569.0,1628.0,6.0,11701,44138
12,1,1034.0,538.0,9.0,11634,2285
12,1,907.0,807.0,6.0,12056,2315
12,1,1435.0,758.0,6.0,12264,3187
12,1,1953.0,1242.0,6.0,11528,4110
12,1,1475.0,982.0,5.0,10546,20960
12,1,821.0,2008.0,5.0,11020,24910
12,1,919.0,719.0,6.0,10317,2295
12,1,1783.0,538.0,5.0,11710,32539
12,1,1885.0,1439.0,5.0,10939,3370
12,1,487.0,917.0,6.0,12131,22957
12,1,1668.0,1145.0,5.0,12123,4867
12,1,1087.0,1095.0,5.0,12551,57649
12,1,1081.0,541.0,6.0,10484,2875
12,1,813.0,1266.0,13.0,9887,2506
12,1,313.0,1125.0,5.0,10571,11611
12,1,1025.0,595.0,7.0,11821,2230
12,1,822.0,282.0,6.0,10947,2178
12,1,1313.0,408.0,5.0,10980,5492
12,1,1878.0,1428.0,5.0,11671,3286
12,1,922.0,1036.0,4.0,10569,66430
12,1,431.0,1379.0,6.0,11076,2827
12,1,97.0,423.0,6.0,10866,2195
12,1,1459.0,730.0,5.0,11270,74259
12,1,1020.0,565.0,8.0,11927,2264
12,1,480.0,924.0,6.0,12483,26590
12,1,1986.0,1227.0,6.0,10904,2207
12,1,1451.0,1181.0,7.0,11150,3290
12,1,522.0,1642.0,5.0,10977,47043
12,1,1316.0,1076.0,5.0,10939,113102
12,1,1226.0,37.0,5.0,10964,4102
12,1,304.0,1150.0,5.0,10070,4140
12,1,936.0,536.0,6.0,11154,2368
12,1,919.0,362.0,5.0,10747,3364
12,1,263.0,1775.0,6.0,12264,51520
12,1,1800.0,917.0,5.0,11181,3675
12,1,1000.0,567.0,6.0,13141,2327
12,1,825.0,1895.0,7.0,10234,45651
12,1,486.0,1645.0,5.0,11164,30717
12,1,1216.0,1109.0,5.0,10811,39851
12,1,905.0,1239.0,6.0,11639,3182
12,1,1866.0,1488.0,6.0,11281,2171
12,1,514.0,923.0,6.0,11731,7912
12,1,401.0,798.0,6.0,10536,2277
12,1,615.0,1223.0,6.0,10652,30544
12,1,943.0,167.0,5.0,11634,3388
12,1,476.0,939.0,5.0,11308,49244
12,1,1730.0,1410.0,8.0,9915,2261
12,1,812.0,599.0,6.0,11350,2268
12,1,220.0,1833.0,6.0,10769,10544
12,1,1067.0,756.0,5.0,11887,3377
12,1,562.0,975.0,7.0,11297,13117
12,1,392.0,1377.0,5.0,10768,3636
12,1,1268.0,1055.0,5.0,11304,6519
12,1,599.0,1889.0,5.0,10911,4621
12,1,922.0,1803.0,9.0,9786,5445
12,1,832.0,2022.0,6.0,10952,39072
12,1,597.0,1551.0,6.0,11162,9631
12,1,1546.0,1248.0,7.0,10327,4569
12,1,1035.0,1861.0,6.0,10802,2455
12,1,783.0,261.0,6.0,11745,2191
12,1,920.0,902.0,5.0,10752,3570
12,1,536.0,1666.0,5.0,12547,5402
12,1,893.0,989.0,6.0,10876,4124
12,1,823.0,735.0,5.0,10689,4479
12,1,335.0,1130.0,5.0,10236,3949
12,1,1669.0,1341.0,6.0,12757,2315
12,1,1657.0,1159.0,6.0,11488,4430
12,1,80.0,1647.0,6.0,9687,2204
12,1,1096.0,557.0,6.0,11342,2959
12,1,1857.0,1398.0,5.0,10522,3211
12,1,1219.0,1983.0,5.0,11231,9863
12,1,1091.0,1106.0,5.0,11174,4659
12,1,1393.0,793.0,4.0,10514,4039
12,1,1241.0,940.0,5.0,12163,26690
12,1,840.0,1760.0,5.0,10070,5390
12,1,1014.0,1093.0,6.0,9866,8993
12,1,482.0,1125.0,7.0,11639,2493
12,1,386.0,1379.0,5.0,10893,3653
12,1,1094.0,534.0,6.0,11150,12301
12,1,900.0,722.0,5.0,12108,3453
12,1,964.0,670.0,5.0,11546,3420
12,1,733.0,1515.0,5.0,10348,4434
12,1,878.0,724.0,6.0,12115,2296
12,1,1595.0,978.0,7.0,10254,33139
12,1,900.0,1263.0,7.0,12122,3221
12,1,516.0,907.0,6.0,11710,9810
12,1,1250.0,901.0,5.0,10083,7215
12,1,748.0,969.0,6.0,10919,122459
12,1,1552.0,1339.0,5.0,11037,3896
12,1,163.0,1728.0,6.0,11460,52406
12,1,472.0,1766.0,5.0,11133,39803
12,1,944.0,883.0,5.0,10373,3575
12,1,1244.0,689.0,6.0,11945,2458
12,1,523.0,1601.0,5.0,10697,16426
12,1,861.0,604.0,7.0,11303,2236
12,1,844.0,225.0,5.0,10328,3272
12,1,1939.0,1201.0,5.0,11834,3479
12,1,570.0,1540.0,6.0,11132,5617
12,1,958.0,1142.0,6.0,10622,40650
12,1,566.0,1636.0,8.0,11435,16190
12,1,882.0,1661.0,5.0,9894,8650
12,1,1146.0,250.0,7.0,11136,5457
12,1,1357.0,621.0,5.0,10675,7487
12,1,1944.0,1263.0,5.0,9957,3377
12,1,1403.0,669.0,6.0,10424,37737
12,1,1445.0,1006.0,5.0,10690,4285
12,1,1669.0,878.0,5.0,10070,61429
12,1,984.0,688.0,6.0,11322,2162
12,1,442.0,1787.0,5.0,9814,14132
12,1,307.0,1429.0,5.0,9954,3529
12,1,914.0,298.0,6.0,10729,2350
12,1,114.0,1625.0,6.0,11166,2916
12,1,1048.0,1051.0,8.0,10997,8658
12,1,935.0,1199.0,6.0,11808,66333
12,1,257.0,1796.0,6.0,11483,18079
12,1,1440.0,1187.0,7.0,12806,2860
12,1,343.0,874.0,7.0,10057,2493
12,1,981.0,1118.0,7.0,10459,18194
12,1,1795.0,1166.0,14.0,9900,4669
12,1,926.0,1157.0,5.0,10000,4979
12,1,1333.0,1080.0,5.0,9874,32897
12,1,1258.0,1064.0,5.0,11296,46864
12,1,995.0,1892.0,5.0,11268,4704
12,1,1332.0,363.0,6.0,9291,2436
12,1,410.0,1043.0,5.0,9801,3847
12,1,368.0,1086.0,5.0,12104,3699
12,1,858.0,1956.0,5.0,10526,86559
12,1,1918.0,1220.0,8.0,12152,2295
12,1,358.0,904.0,5.0,9937,13460
12,1,678.0,1117.0,5.0,10104,7537
12,1,1881.0,1464.0,9.0,11969,2191
12,1,1035.0,782.0,5.0,11957,3567
12,1,979.0,372.0,7.0,11452,2303
12,1,997.0,586.0,7.0,11014,2209
12,1,1101.0,728.0,5.0,10297,9678
12,1,240.0,1954.0,6.0,9841,3834
12,1,482.0,1835.0,5.0,10200,15030
12,1,941.0,163.0,5.0,11495,3446
12,1,736.0,869.0,6.0,10746,3920
12,1,1034.0,785.0,6.0,10757,2370
12,1,1266.0,932.0,6.0,12181,25881
12,1,1997.0,1263.0,5.0,9993,3230
12,1,1659.0,390.0,6.0,10806,2760
12,1,1016.0,1104.0,6.0,10662,4205
12,1,1173.0,873.0,7.0,10951,79302
12,1,479.0,1131.0,7.0,11608,2639
